id,si,gu,dong,bunji,mainBun,subBun,yearSold,daySold,salesPrice
1,서울특별시,동대문구,답십리동,111,111,0,201801,1~10,59000
2,서울특별시,동대문구,답십리동,111,111,0,201801,1~10,41500
3,서울특별시,동대문구,답십리동,111,111,0,201801,11~20,42000
9,서울특별시,동대문구,답십리동,80,80,0,201801,1~10,37800
10,서울특별시,동대문구,답십리동,80,80,0,201801,1~10,46500
11,서울특별시,동대문구,답십리동,80,80,0,201801,1~10,48500
12,서울특별시,동대문구,답십리동,80,80,0,201801,1~10,37400
13,서울특별시,동대문구,답십리동,80,80,0,201801,1~10,47300
14,서울특별시,동대문구,답십리동,80,80,0,201801,1~10,38000
15,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,47800
16,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,40000
17,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,37800
18,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,38300
19,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,41300
20,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,38000
21,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,41800
22,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,38300
23,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,38000
24,서울특별시,동대문구,답십리동,80,80,0,201801,11~20,38800
25,서울특별시,동대문구,답십리동,80,80,0,201801,21~31,46700
26,서울특별시,동대문구,답십리동,80,80,0,201801,21~31,47800
27,서울특별시,동대문구,답십리동,80,80,0,201801,21~31,47500
28,서울특별시,동대문구,답십리동,80,80,0,201801,21~31,48300
72,서울특별시,동대문구,답십리동,808,808,0,201801,11~20,49500
73,서울특별시,동대문구,답십리동,808,808,0,201801,11~20,41200
81,서울특별시,동대문구,답십리동,42,42,0,201801,1~10,32500
82,서울특별시,동대문구,답십리동,42,42,0,201801,11~20,32000
83,서울특별시,동대문구,답십리동,42,42,0,201801,11~20,28300
84,서울특별시,동대문구,답십리동,42,42,0,201801,21~31,27500
85,서울특별시,동대문구,답십리동,42,42,0,201801,21~31,39000
86,서울특별시,동대문구,답십리동,42,42,0,201801,21~31,22800
110,서울특별시,동대문구,답십리동,41,41,0,201801,11~20,34700
111,서울특별시,동대문구,답십리동,41,41,0,201801,21~31,36800
112,서울특별시,동대문구,답십리동,41,41,0,201801,21~31,35500
118,서울특별시,동대문구,답십리동,10,10,0,201801,11~20,38000
119,서울특별시,동대문구,답십리동,10,10,0,201801,11~20,38500
120,서울특별시,동대문구,답십리동,10,10,0,201801,11~20,43500
121,서울특별시,동대문구,답십리동,10,10,0,201801,11~20,45000
122,서울특별시,동대문구,답십리동,10,10,0,201801,21~31,42900
123,서울특별시,동대문구,답십리동,10,10,0,201801,21~31,43550
124,서울특별시,동대문구,답십리동,10,10,0,201801,21~31,49500
125,서울특별시,동대문구,답십리동,10,10,0,201801,21~31,41000
126,서울특별시,동대문구,답십리동,10,10,0,201801,21~31,46000
127,서울특별시,동대문구,답십리동,10,10,0,201801,21~31,50000
128,서울특별시,동대문구,답십리동,10,10,0,201801,21~31,37000
