id,si,gu,dong,bunji,type,roadCondition,buildingSize,landSize,yearBuilt,address
1,서울특별시,성북구,길음동,5**,단독,8m미만,19.83,46,1980,길음로1길
2,서울특별시,성북구,길음동,5**,단독,8m미만,24.97,53,1985,동소문로43다길
3,서울특별시,성북구,길음동,4**,단독,-,70.83,57,1991,숭인로16가길
4,서울특별시,성북구,길음동,5**,단독,8m미만,51,60,1985,길음로5길
5,서울특별시,성북구,길음동,5**,단독,8m미만,39.67,63,1940,길음로1가길
6,서울특별시,성북구,길음동,5**,단독,8m미만,33.12,66,1980,동소문로43다길
7,서울특별시,성북구,길음동,9**,단독,8m미만,191.72,88.7,1996,삼양로8길
8,서울특별시,성북구,길음동,5**,단독,8m미만,38.76,92,1985,동소문로43다길
9,서울특별시,성북구,길음동,1***,단독,8m미만,257.16,99,1975,삼양로
10,서울특별시,성북구,길음동,1***,단독,8m미만,182.28,101.5,1991,삼양로9길
11,서울특별시,성북구,길음동,9**,단독,8m미만,59.67,104,1966,삼양로6길
12,서울특별시,성북구,길음동,9**,단독,8m미만,49.58,104.2,1980,동소문로43가길
13,서울특별시,성북구,길음동,1***,단독,8m미만,201.31,124,1995,삼양로9길
14,서울특별시,성북구,길음동,1***,단독,8m미만,188.88,127.9,1993,삼양로12길
15,서울특별시,성북구,길음동,1***,단독,8m미만,99.44,162,1966,삼양로9길
16,서울특별시,성북구,길음동,1***,단독,8m미만,315.65,175,1996,숭인로
17,서울특별시,성북구,돈암동,4*,단독,8m미만,29.51,40,1985,북악산로17길
18,서울특별시,성북구,돈암동,4*,단독,8m미만,32.3,84,1980,북악산로17길
19,서울특별시,성북구,돈암동,7*,단독,8m미만,256.5,92,1993,동소문로32길
20,서울특별시,성북구,돈암동,6*,단독,8m미만,84.14,281,1950,
21,서울특별시,성북구,동선동1가,8*,단독,12m미만,40.92,28.1,1977,동소문로22길
22,서울특별시,성북구,동선동2가,3**,단독,8m미만,26.45,62.8,1955,보문로30가길
23,서울특별시,성북구,동선동2가,1**,단독,8m미만,299.15,118,1994,동소문로22길
24,서울특별시,성북구,동선동3가,1**,단독,8m미만,33.06,56.5,1980,동소문로26길
25,서울특별시,성북구,동선동3가,7*,단독,8m미만,136.96,71.4,1993,동소문로26마길
