id,si,gu,dong,bunji,yearSold,daySold,salesPrice
1,서울특별시,성북구,길음동,5**,201801,11~20,32330
4,서울특별시,성북구,길음동,5**,201801,1~10,52800
12,서울특별시,성북구,길음동,9**,201801,21~31,46850
28,서울특별시,성북구,동선동4가,2**,201801,1~10,111000
30,서울특별시,성북구,동선동5가,7*,201801,11~20,36600
32,서울특별시,성북구,동선동5가,9*,201801,21~31,30000
41,서울특별시,성북구,동소문동4가,1**,201801,21~31,232500
43,서울특별시,성북구,동소문동5가,2*,201801,1~10,50000
44,서울특별시,성북구,동소문동6가,7*,201801,11~20,43328
53,서울특별시,성북구,보문동1가,1**,201801,21~31,21700
62,서울특별시,성북구,보문동6가,3**,201801,1~10,33750
74,서울특별시,성북구,삼선동1가,1*,201801,1~10,24000
79,서울특별시,성북구,삼선동1가,2**,201801,21~31,47164
84,서울특별시,성북구,삼선동1가,3**,201801,11~20,21400
97,서울특별시,성북구,삼선동2가,2**,201801,1~10,75000
99,서울특별시,성북구,삼선동2가,3**,201801,11~20,70000
110,서울특별시,성북구,삼선동5가,1**,201801,1~10,110500
125,서울특별시,성북구,상월곡동,8*,201801,11~20,29800
129,서울특별시,성북구,상월곡동,5*,201801,11~20,53500
130,서울특별시,성북구,상월곡동,7*,201801,11~20,49000
132,서울특별시,성북구,상월곡동,5*,201801,21~31,57000
133,서울특별시,성북구,상월곡동,*,201801,21~31,64800
134,서울특별시,성북구,상월곡동,7*,201801,11~20,100000
145,서울특별시,성북구,석관동,2**,201801,1~10,30700
150,서울특별시,성북구,석관동,1**,201801,11~20,51000
170,서울특별시,성북구,석관동,3**,201801,21~31,25200
174,서울특별시,성북구,석관동,3**,201801,21~31,26000
177,서울특별시,성북구,석관동,3**,201801,1~10,27600
194,서울특별시,성북구,석관동,1**,201801,1~10,39000
195,서울특별시,성북구,석관동,1**,201801,1~10,44000
200,서울특별시,성북구,석관동,1**,201801,21~31,44800
201,서울특별시,성북구,석관동,1**,201801,21~31,44800
208,서울특별시,성북구,석관동,3**,201801,21~31,48000
209,서울특별시,성북구,석관동,1**,201801,11~20,30450
211,서울특별시,성북구,석관동,3**,201801,21~31,51000
216,서울특별시,성북구,석관동,2**,201801,21~31,52000
217,서울특별시,성북구,석관동,3**,201801,1~10,36500
231,서울특별시,성북구,석관동,1**,201801,21~31,57050
232,서울특별시,성북구,석관동,1**,201801,21~31,56000
240,서울특별시,성북구,석관동,1**,201801,21~31,62500
243,서울특별시,성북구,석관동,1**,201801,1~10,47000
247,서울특별시,성북구,석관동,3**,201801,21~31,50000
255,서울특별시,성북구,석관동,3**,201801,1~10,55000
266,서울특별시,성북구,성북동,산2*,201801,11~20,9000
271,서울특별시,성북구,성북동,2**,201801,1~10,19300
283,서울특별시,성북구,성북동,1**,201801,21~31,22100
285,서울특별시,성북구,성북동,1**,201801,11~20,60000
286,서울특별시,성북구,성북동,1*,201801,21~31,135000
293,서울특별시,성북구,성북동,1**,201801,21~31,104500
294,서울특별시,성북구,성북동,2*,201801,21~31,217000
307,서울특별시,성북구,안암동2가,9*,201801,11~20,50000
309,서울특별시,성북구,안암동2가,1**,201801,11~20,17500
316,서울특별시,성북구,안암동3가,1**,201801,1~10,14000
317,서울특별시,성북구,안암동3가,1**,201801,21~31,13000
320,서울특별시,성북구,안암동3가,1**,201801,21~31,31000
322,서울특별시,성북구,안암동4가,3*,201801,1~10,49000
324,서울특별시,성북구,안암동5가,1**,201801,1~10,69000
325,서울특별시,성북구,안암동5가,8*,201801,11~20,26600
326,서울특별시,성북구,안암동5가,1**,201801,11~20,66000
333,서울특별시,성북구,장위동,6*,201801,1~10,39800
339,서울특별시,성북구,장위동,7*,201801,1~10,53000
