rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,date
4.0,as advertised,The bars have a nice pure tone and good sustain.  The guinea pig purrs when the room is silent and I hit the chimes.  Very cool!,[],B0000775FZ,B09WW1X2NB,AGW3JKX23VPOBNQ4ZMMJ7H74ZWKA,1398807534000,0,True,2014-04-29 21:38:54.000
5.0,Five Stars,Best saxophone reeds from my perspective! Great deal too; way better than Vandorens,[],B000K669WW,B000K669WW,AGEXRTWFA5RRCQSNOZLG6DLYHDKQ,1417983373000,0,True,2014-12-07 20:16:13.000
5.0,Works,Works great,[],B01L7NX09G,B01L7NX09G,AF62CQL6LMDXDYE3274TZAM25PIA,1671663172561,0,True,2022-12-21 22:52:52.561
4.0,"It's got a great look, sturdy as hell and really well priced","I'm not sure why I am not giving this 5 stars. It's got a great look, sturdy as hell and really well priced. I might buy another one soon.",[],B0002DVBRQ,B0002DVBRQ,AHNAZN6ZAYDDQPKKNODYYBDZK5MQ,1409588772000,0,True,2014-09-01 16:26:12.000
1.0,Shortlived,"I bought this for zoom room dance parties after the pandemic. Wanting to create a fun atmosphere was great for the few times I used it less than 5 times. I moved it to another room and it never worked again. I'm not sure what happened it looks fine, but it won't turn on with the remote or plugged into any outlet.",[],B01JO7AEK0,B01JO7AEK0,AENTTF72N3Z2U4BCXE4TG5QMVUSQ,1611008299747,0,True,2021-01-18 22:18:19.747
5.0,love the color and high quality mirrors,Its sturdy and the color is great. better than silver would be,[],B097Z464RK,B09DHCYT6X,AFWQIKWFURC7F4ZWOOGLBXN4S5SA,1643245961570,0,True,2022-01-27 01:12:41.570
5.0,Great value for the low cost.,Excellent mic for youtuber on a budget. I used it to record today and it did very well.,[],B07PTPMGFH,B07PTPMGFH,AFWN3OQ7LSJQQ24QPKJUU3W7EHCA,1562886748585,0,True,2019-07-11 23:12:28.585
4.0,Justo,No es mejor sonido pero si es claro.,[],B07XZFNZ5D,B07XZFNZ5D,AHJTFOBC2EUUY4LDE7N3LF6262LA,1614358769215,0,True,2021-02-26 16:59:29.215
5.0,Good product.,"Well built!  I first purchased 3 of these and about 2 years later, I needed 2 more.  I shopped on Amazon for cheaper alternative since these cost me about $13 each.  Other manufacture had pictured a slightly flimsier model than the solid K & M model and the other manufacture charged less but shipping was charged where K & M did not.  The other manufactures price with shipping was now just $3 shy of the K & M.  I wanted the screw, mount design the same so for all the reasons above, I went back to K & M.  I am pleased with the construction of the plate, the strong treading, material used, paint quality and over-all looks of this unit.  This is a good product.",[],B001G43G96,B07T2KS4CD,AH4TN2WS3RFG6FW4FN5WL7KEMISQ,1462480656000,0,True,2016-05-05 20:37:36.000
5.0,Professional mono mic for interviewing or personal use,"The ZealSound Lapel Microphone, Bluetooth Microphone, Lavalier Wireless Mic for iPhone Android comes with a free app to assist with audio processing.<br /><br />The mic is somewhat directional and that gives it pretty good noise cancelling qualities from ambient sound (similar to a boom mic but much more discrete).<br /><br />The audio is crisp and clear and doesn't sound compressed or over-processed.  The set include a case and the required accessories to maintain and transport the unit.<br /><br />I don't review apps unless they're really bad.",[],B08VCZH1QD,B08VCZH1QD,AE4JPPM4YPZ4EONHBXME6VWPVS2Q,1618411462914,0,False,2021-04-14 14:44:22.914
